Localidad,Latitud,Longitud,Tipo_place,population,osm_type,osm_id,name_normalized
Paso Oscuro,-35.5078455,-72.2066331,hamlet,29.0,node,6020963563,paso oscuro
Paso Paz,-38.302028,-71.3326621,hamlet,21.0,node,5047125446,paso paz
Paso Pehuenche,-35.9829722,-70.3939534,locality,,node,12855878886,paso pehuenche
Paso Perales,-36.706181,-71.9735625,hamlet,52.0,node,6075227228,paso perales
Paso Poquis (Paso de San Pedro) (cruce no habilitado),-23.007125,-66.9928361,locality,0.0,node,2677290114,paso poquis (paso de san pedro) (cruce no habilitado)
Paso Quila,-37.6056331,-73.1520735,locality,,node,4433515582,paso quila
Paso Quilas,-35.5539984,-72.300961,hamlet,20.0,node,12177913511,paso quilas
Paso Rari,-35.7877568,-71.4432196,village,663.0,node,4477590029,paso rari
Paso Río Bellavista,-54.0001285,-68.6075192,locality,,node,4817192346,paso rio bellavista
Paso Río Don Guillermo,-51.245915,-72.2589389,locality,,node,2180764086,paso rio don guillermo
Paso Río Jeinemeni,-46.5845002,-71.6613927,locality,,node,6162869732,paso rio jeinemeni
Paso Río Mosco,-48.4837042,-72.5601416,locality,,node,6167331883,paso rio mosco
Paso Soto,-36.6598999,-71.8575114,hamlet,288.0,node,5907514317,paso soto
Paso Vicuña Mackenna,-24.5736511,-70.3355238,locality,,node,10271431396,paso vicuna mackenna
Paso Vielma,-36.7773592,-71.8463829,hamlet,120.0,node,6075227235,paso vielma
Paso Zapaleri,-22.849718,-67.1444222,locality,0.0,node,2803201001,paso zapaleri
Pastahué,-42.3666082,-73.8212428,hamlet,128.0,node,2676084242,pastahue
Pastal,-40.5818884,-73.6771059,hamlet,32.0,node,8260776640,pastal
Pastalito,-29.0803286,-70.4754897,hamlet,13.0,node,4114577003,pastalito
Pasto Cerrado,-26.3909142,-69.485453,locality,,node,214183231,pasto cerrado
Pata de Gallina,-37.5006465,-72.4064804,hamlet,407.0,node,3507791985,pata de gallina
Pata de Vaca,-37.5820483,-73.4370589,hamlet,52.0,node,6395459396,pata de vaca
Patacón,-34.871415,-71.8238022,hamlet,37.0,node,214202887,patacon
Patagonia Virgin,-41.1519036,-73.0096837,neighbourhood,,node,3582168099,patagonia virgin
Patagual,-36.6995823,-71.9104314,hamlet,401.0,node,5767672116,patagual
Pataguas Cerro,-34.3113804,-71.3843353,village,2273.0,node,1624658021,pataguas cerro
Pataguas Orilla,-34.3112563,-71.3418263,village,1568.0,node,214195900,pataguas orilla
Patagueco,-37.322837,-72.1377325,hamlet,148.0,node,6466201818,patagueco
Patagüilla,-33.4887619,-70.9964848,village,531.0,node,5735506059,pataguilla
Patagüilla El Bosque,-33.5052601,-70.9960771,village,684.0,node,5735506058,pataguilla el bosque
Patagüilla Interior,-33.4962956,-70.9967852,hamlet,82.0,node,12801804102,pataguilla interior
